Date,AAPL,ADBE,AMZN,ASML,BKNG,CMCSA,COST,CRM,DIS,GOOGL,HD,KO,LOW,MCD,MDLZ,MSFT,NFLX,NKE,NTES,NVDA,ORCL,PEP,PG,PM,SBUX,T,TM,TMUS,TSM,UL,VZ,WMT
2008-12-02,1148722400,7201400,174274000,2894200,1013900,54033600,6138500,21122400,20051200,233354412,23835800,28670000,13832400,10215700,11829700,79689800,6883800,16110000,5536000,47998800,41701000,7039200,20242400,12697300,22349600,48947618,2149800,1178200,16604811,1022000,23220658,24462500
2008-12-03,1338680000,7296300,313512000,2912100,2150800,72359200,7885400,21466800,16331800,235955808,32948500,39894200,23755600,13454300,12380800,80961500,6189400,17430800,4442500,58463200,72210200,10379100,19967600,9148700,22828800,56509644,1392200,1513800,16485417,1033400,26331901,25215300
2008-12-04,1091370000,18690600,395646000,3116200,1550200,58000600,9864600,12506400,17198700,195268536,30083600,32059200,31170400,16996200,10178200,78719200,6727000,21545200,4685000,46629200,48105900,7775200,17919600,10659500,37240800,59557492,2191500,1149650,14749983,793100,20631972,28793000
2008-12-05,1043795200,11494800,292176000,4388400,1677300,60067600,8656700,11990800,17945000,260587152,32975900,28276200,28029100,17843400,16901300,91996200,9088100,13825200,4091000,43848400,57184100,9936200,22060500,11548000,25890800,67790786,1638000,1276400,8758173,1743400,21366601,37656500
2008-12-08,1185142000,7912100,218814000,3403600,1682500,63273000,7387300,15876000,34087700,325446228,28815400,26908400,18455000,16959100,15621800,107225000,9763600,32329200,5556000,70799200,49736700,9974200,20894200,10048200,24430600,60746312,1369900,2201600,17578555,2037800,26441509,27061600
2008-12-09,1203496000,7419300,266296000,3497400,1836100,46969600,7886900,15295600,26341900,275320404,26321100,26635000,26274500,13459500,16469600,80484900,17894800,19459600,3094500,82976000,44413400,7472100,21421800,12248300,24375600,52378234,1378300,1801750,19956687,914000,24560262,30404800
2008-12-10,938047600,5825900,155076000,4201800,1327800,47539200,7260800,8227600,16276200,209270520,18719700,29363800,14080500,11410900,11687000,61499000,8979600,25456400,2225000,96112400,36795000,5651200,14721200,10514500,19714400,58920780,1273800,1457100,16896060,991500,28329472,21298600
2008-12-11,1040617200,6443700,151672000,2149400,1602500,42487400,10660400,7135600,14827300,246920832,18390900,33283400,17094800,11650300,15338700,83564300,12569900,16479600,3235500,58270000,36833500,5699500,18856600,10582000,21210200,51555236,1691000,878700,14385168,1197400,23501075,24949600
2008-12-12,1041174400,6290700,173296000,2908400,1155600,63760200,6796200,6966800,15025300,228655116,20831300,30458000,15673800,9827700,11848200,78112600,5471900,14694400,2734500,67926800,33021700,6984400,16817900,8789500,20531200,43438586,1218600,713450,22912191,1064200,21908243,23624800
2008-12-15,891758000,8273000,145708000,3199400,741100,43595000,4868700,5571200,12908800,269246484,14736800,20399200,11851800,7964700,10080900,59925900,4821600,13592800,2775500,47699600,37179300,6148700,12230800,10763100,28568200,56403724,1372200,489150,14127385,1179800,22095365,16719000
2008-12-16,1093506400,10799400,177258000,3742100,1454400,63713200,8211700,6813200,22276500,282101616,26188100,35063000,18074000,13487700,15825000,97688700,9816800,24551200,4592500,52194000,57317700,9408900,17789000,16539600,32550600,59227286,2258900,1282450,24760788,1104200,30786586,22996000
2008-12-17,1293860400,15258800,183662000,3713900,1764900,48772800,6888800,5984400,14715400,231356412,20068300,26407400,19017000,10869400,13127600,78922700,6004600,15446800,6459500,67418000,38961500,8002500,16119000,12391700,30114600,40246687,1101700,931050,18086784,1120200,19395152,22195600
2008-12-18,857416000,8861100,150362000,5760800,3226200,41251200,5053200,8776800,18351500,190349460,22105800,31094400,21609000,11393600,12807000,80759200,5366200,24660800,5674500,55080800,45269900,10270600,17195600,13240600,23996000,43926745,1713300,1412100,11752068,1350700,20496775,26941400
2008-12-19,801920000,8235700,219264000,2457300,2446800,68648600,6452400,8856000,21133800,224279496,23095200,50547600,24687800,15966600,19801300,113530400,15471400,24400800,3811500,59312000,90125800,11422100,23247400,23861000,29267400,64421471,1485300,1643200,11231176,1050500,29576314,32438200
2008-12-22,844740400,5273400,178500000,2253900,1234200,38795800,4977100,4957200,12596900,156547296,13244400,22376800,13653600,9064900,9258300,58575400,8297100,13785600,1991000,52246400,32738500,5738700,11407100,9734300,16918800,32508437,1689800,1407600,12053367,850100,16366329,17015300
2008-12-23,635031600,4399100,116908000,2102300,1737900,32412200,3533700,5270000,9381100,150956892,13559600,20176200,8587400,7178800,6444900,47511400,6005300,13102000,3496000,37745200,26611800,6249900,10645200,7614700,18512400,28572979,1151600,957650,12864703,787900,13444341,12854300
2008-12-24,271334000,1426700,32910000,606400,282100,9808800,1123400,968400,3507200,76783140,3976000,5316600,3290200,2574800,2191400,16880400,2150400,4384800,950000,14661600,8337100,2051200,4036600,2736400,3521800,9031534,589400,208100,2914098,404600,4411396,4560700
2008-12-26,308324800,1942700,136946000,488000,333800,14343400,1218200,1626400,3069100,78285636,4461200,9626600,3388700,2410100,2736300,23101000,2457700,4919200,370000,22615600,9496000,2855000,4455600,2911500,5993600,10850312,480700,268000,2546368,545500,5192725,6373700
